GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
TP,fr.univavignon.pokedex.api,PokemonFactory,0,40,0,2,0,9,0,3,0,2
TP,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
TP,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,62,0,8,0,12,0,6,0,2
TP,fr.univavignon.pokedex.api,Pokedex,0,81,0,4,0,19,0,10,0,8
TP,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
TP,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,19,0,0,0,3,0,2,0,2
TP,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
TP,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
TP,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
TP,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
